LON,LAT,DATASET,count_same
110.718,32.12,CH4,13
115.15,28.517,CH4,12
111.867,26.75,CH4,2
113.331,28.551,CH4,63
123.4,41.833,CH4,10
120.12,30.26,CH4,6
120.16,30.13,CH4,9
120.8,31.2,CH4,6
119.467,31.92,CH4,8
105.45,31.267,CH4,4
121.363,29.793,CH4,12
113.617,28.15,CH4,30
112.3,28.117,CH4,52
119.95,30.083,CH4,4
118.833,31.867,CH4,2
119.683,31.4,CH4,6
112.15,30.35,CH4,16
116.917,28.25,CH4,154
119.9,31.292,CH4,4
105.467,31.267,CH4,8
119.05,26.017,CH4,12
120.962,31.254,CH4,5
117.067,32.86,CH4,6
119.643,25.996,CH4,4
119.967,31.633,CH4,10
104.567,30.083,CH4,8
126.8,45.817,CH4,34
106.19,29.064,CH4,6
115.068,26.746,CH4,8
123.75,45.333,CH4,12
108.294,22.883,CH4,30
121.783,31.217,CH4,8
114.567,23.1,CH4,36
119.3,26.1,CH4,23
115.073,29.936,CH4,1
114.092,30.361,CH4,1
113.08,28.199,CH4,10
111.5,28.917,CH4,40
112.8,28.617,CH4,10
112.102,30.383,CH4,18
127.667,46.95,CH4,20
133.517,47.583,CH4,1
113.333,23.133,CH4,34
111.45,28.917,CH4,22
119.942,30.085,CH4,23
113.167,35.067,CH4,6
125.733,45.63,CH4,2
121.383,30.883,CH4,7
106.193,38.124,CH4,4
124.832,45.147,CH4,3
124.718,45.005,CH4,6
124.708,45.001,CH4,6
116.335,39.961,CH4,12
115.55,34.567,CH4,12
112.817,29.567,CH4,12
126.633,47.433,CH4,2
113.204,28.139,CH4,12
112.817,28.366,CH4,8
118.8,32.0,CH4,1
106.433,30.433,CH4,1
113.183,28.133,CH4,16
120.183,33.45,CH4,1
113.49,28.18,CH4,10
113.2,28.138,CH4,4
115.5,29.917,CH4,8
113.201,28.142,CH4,12
113.093,28.184,CH4,16
109.934,19.949,CH4,8
120.7,31.55,CH4,3
120.617,31.55,CH4,1
116.994,31.534,CH4,4
112.431,29.118,CH4,2
112.917,29.867,CH4,3
120.964,31.265,CH4,6
116.091,28.336,CH4,18
114.37,30.48,CH4,30
110.717,32.117,CH4,3
123.8,42.233,CH4,4
125.7,43.81,CH4,4
116.917,28.342,CH4,8
116.0,28.441,CH4,24
111.66,29.98,CH4,2
113.75,30.083,CH4,8
112.767,30.883,CH4,4
119.391,34.551,CH4,6
113.331,28.546,CH4,2
112.763,28.974,CH4,4
119.75,30.417,CH4,6
112.4,29.15,CH4,2
113.083,28.186,CH4,5
133.31,47.35,CH4,6
120.5,30.717,CH4,4
117.746,30.764,CH4,20
106.6644444,26.49694444,CH4,4
108.2941278,22.88286944,CH4,16
112.9375,27.91527778,CH4,2
115.15,28.1,CH4,4
127.6792,46.9578,CH4,6
119.7,32.5847,CH4,9
119.83,32.87,CH4,1
115.7241,30.0069,CH4,3
119.42,32.5,CH4,8
115.57,30.167,CH4,24
103.83,30.13,CH4,3
112.52,30.2,CH4,6
115.07,26.75,CH4,22
121.4,30.89,CH4,2
105.47,31.27,CH4,5
120.5,31.5,CH4,16
119.25,32.3,CH4,4
119.68,31.4,CH4,2
