target,source,weight
CH\-(4),Temperature,0.05538125586064389
CH\-(4),Precipitation,0.02123633764226262
CH\-(4),PET,0.05765144995596132
CH\-(4),Frost days,0.038904741983482205
CH\-(4),Wet days,0.03511794840723201
CH\-(4),VAP,0.031124138766341104
CH\-(4),DTR,0.02768632741031242
CH\-(4),Sand,0.02178680420348157
CH\-(4),Silt,0.05136671648052296
CH\-(4),Clay,0.026557546010561848
CH\-(4),Soil PH,0.026751061508528032
CH\-(4),Soil total N,0.030013485615215756
CH\-(4),SOM,0.036556806624574764
CH\-(4),Bulk density,0.0632419015384106
CH\-(4),Inorganic N,0.026279429911687996
CH\-(4),SRF,0.0013624477284120686
CH\-(4),Inorganic P,0.02884018490358416
CH\-(4),Inorganic K,0.05842253746099847
CH\-(4),Organic N,0.08925631763379693
CH\-(4),Straw,0.1341188271325962
CH\-(4),CF,0.031469605971310446
CH\-(4),MD,0.016512501690692308
CH\-(4),II,0.07225063591193535
CH\-(4),Rainfed,0.010024504239735851
CH\-(4),Biochar,0.004481960545022207
CH\-(4),Tillage,0.003604524862697009
N\-(2)O,Temperature,0.07507495246793727
N\-(2)O,Precipitation,0.05735905206046199
N\-(2)O,PET,0.027790379066940065
N\-(2)O,Frost days,0.021201921041330212
N\-(2)O,Wet days,0.02935848349029499
N\-(2)O,VAP,0.036690921628046234
N\-(2)O,DTR,0.05722547839534176
N\-(2)O,Sand,0.030440178151985662
N\-(2)O,Silt,0.02068678034037594
N\-(2)O,Clay,0.06293537454055699
N\-(2)O,Soil PH,0.09801433925896354
N\-(2)O,Soil total N,0.02115000372998159
N\-(2)O,SOM,0.06537700032864163
N\-(2)O,Bulk density,0.041802004512269626
N\-(2)O,Inorganic N,0.14019639865236774
N\-(2)O,SRF,0.002326702030924572
N\-(2)O,Inorganic P,0.025603299319933628
N\-(2)O,Inorganic K,0.03989769769406489
N\-(2)O,Organic N,0.0034537613335994723
N\-(2)O,Straw,0.007365201489573189
N\-(2)O,CF,0.02271508384393757
N\-(2)O,MD,0.012488885662958863
N\-(2)O,II,0.0608223903738248
N\-(2)O,Rainfed,0.010370356928995263
N\-(2)O,Biochar,0.008705978656440468
N\-(2)O,Tillage,0.020947375000252025
ΔSOC,Temperature,0.08635237702279827
ΔSOC,Precipitation,0.030391068423149616
ΔSOC,PET,0.0778280183701914
ΔSOC,Frost days,0.01593141946451941
ΔSOC,Wet days,0.022277898062168833
ΔSOC,VAP,0.07178355048328802
ΔSOC,DTR,0.02397085951113966
ΔSOC,Sand,0.017347892234638215
ΔSOC,Silt,0.029062504873999147
ΔSOC,Clay,0.019467638772503695
ΔSOC,Soil PH,0.08941076717809983
ΔSOC,Soil total N,0.03511264432354563
ΔSOC,SOM,0.05317798923253832
ΔSOC,Bulk density,0.03417258281544877
ΔSOC,Inorganic N,0.07697019452041975
ΔSOC,SRF,0.0
ΔSOC,Inorganic P,0.029874956222625846
ΔSOC,Inorganic K,0.031229041803670348
ΔSOC,Organic N,0.13126122792167005
ΔSOC,Straw,0.045742570607410174
ΔSOC,CF,0.006227375782143936
ΔSOC,MD,0.009740908839555746
ΔSOC,II,0.010639851518490003
ΔSOC,Rainfed,0.0
ΔSOC,Biochar,0.049487219842529066
ΔSOC,Tillage,0.002539442173456236
Yield,Temperature,0.1163484432289283
Yield,Precipitation,0.03799888919360672
Yield,PET,0.022732387198343158
Yield,Frost days,0.015429236022680272
Yield,Wet days,0.027428376566850207
Yield,VAP,0.08660258683002833
Yield,DTR,0.020053765487069743
Yield,Sand,0.019357339959503186
Yield,Silt,0.019492533901149668
Yield,Clay,0.04146567702440474
Yield,Soil PH,0.043380776777581856
Yield,Soil total N,0.03526717959613073
Yield,SOM,0.037342341304667785
Yield,Bulk density,0.03896413991799914
Yield,Inorganic N,0.22203017627430574
Yield,SRF,0.005340729378598613
Yield,Inorganic P,0.058099478653229154
Yield,Inorganic K,0.08804349962917322
Yield,Organic N,0.020846677933428707
Yield,Straw,0.0072233363141964504
Yield,CF,0.005271408251387876
Yield,MD,0.012140951296009958
Yield,II,0.010164054156765065
Yield,Rainfed,0.00265486900865128
Yield,Biochar,0.005245330447750968
Yield,Tillage,0.0010758156475592882
NH\-(3),Temperature,0.09287106661965423
NH\-(3),Precipitation,0.018781053225796554
NH\-(3),PET,0.019185399588558003
NH\-(3),Frost days,0.01912446097297793
NH\-(3),Wet days,0.02404677225229647
NH\-(3),VAP,0.025335329604703808
NH\-(3),DTR,0.03352403698570174
NH\-(3),Sand,0.02419318521335127
NH\-(3),Silt,0.024192352971256853
NH\-(3),Clay,0.01723070949902324
NH\-(3),Soil PH,0.01898748008899319
NH\-(3),Soil total N,0.031014272242972277
NH\-(3),SOM,0.03320849393679269
NH\-(3),Bulk density,0.04682872146376712
NH\-(3),Inorganic N,0.38294972675180255
NH\-(3),SRF,0.0653660202272434
NH\-(3),Inorganic P,0.023237493874929363
NH\-(3),Inorganic K,0.037575360677541234
NH\-(3),Organic N,0.026980086573521512
NH\-(3),Straw,0.0033230193878810077
NH\-(3),CF,0.004588089018957026
NH\-(3),MD,0.010026112982782482
NH\-(3),II,0.00974647963905845
NH\-(3),Rainfed,0.0014016498059041904
NH\-(3),Biochar,0.0029877491189561536
NH\-(3),Tillage,0.0032948772755772115
N leaching,Temperature,0.06396339393537168
N leaching,Precipitation,0.06504984500090359
N leaching,PET,0.016560351890325304
N leaching,Frost days,0.02990233689220646
N leaching,Wet days,0.03657252222296462
N leaching,VAP,0.047520081721496694
N leaching,DTR,0.08509098377453406
N leaching,Sand,0.01275759378981199
N leaching,Silt,0.029298932338062605
N leaching,Clay,0.012786920973106436
N leaching,Soil PH,0.034474686918865495
